Motif	ROC AUC	MNCP	Enr. at 5% FDR	Max enr.
JUN.SWISSREGULON	0.788	1.653904	10.21	76.00
v-JUN.1_3.ZLAB	0.703	1.491519	6.35	30.00
M2289_1.02.CIS-BP	0.846	1.729789	12.96	44.00
Jun.TF2DNA	0.743	1.385985	3.06	4.00
cJun_2.GUERTIN	0.840	1.746404	12.41	97.00
C-JUN_1.3DFOOTPRINT	0.802	1.663791	8.63	63.50
cJun_3.GUERTIN	0.667	1.424652	4.05	17.50
cJun_1.GUERTIN	0.703	1.530556	8.29	66.50
Motif	ROC AUC	MNCP	Enr. at 5% FDR	Max enr.
v-JUN.1_5.ZLAB	0.666	1.322980	3.68	9.50
Jun-AP1.HOMER	0.936	1.904712	16.38	135.50
v-JUN.1_4.ZLAB	0.484	0.991643	0.72	1.50
c-Jun-CRE.HOMER	0.574	1.253441	3.92	23.50
v-JUN.1_2.ZLAB	0.932	1.891214	16.20	96.67
MA0489.1.JASPAR	0.934	1.897907	16.68	111.00
MA0488.1.JASPAR	0.626	1.302473	4.12	25.50
cJun_4.GUERTIN	0.485	0.956849	0.44	1.04
C-JUN_2.3DFOOTPRINT	0.740	1.321798	1.96	120.50
JUN_f1.HOCOMOCO	0.942	1.907562	16.92	127.50
v-JUN.1_1.ZLAB	0.672	1.369905	4.08	30.00
JUN.SWISSREGULON	0.603	1.244147	3.12	12.00
v-JUN.1_3.ZLAB	0.923	1.860081	14.33	187.50
M2289_1.02.CIS-BP	0.626	1.302473	4.12	25.50
Jun.TF2DNA	0.737	1.394597	3.11	4.03
cJun_2.GUERTIN	0.612	1.284573	3.68	18.00
C-JUN_1.3DFOOTPRINT	0.631	1.300147	2.75	10.50
cJun_3.GUERTIN	0.888	1.776144	7.40	62.50
cJun_1.GUERTIN	0.937	1.899721	17.04	89.00
Motif	ROC AUC	MNCP	Enr. at 5% FDR	Max enr.
v-JUN.1_5.ZLAB	0.687	1.351432	4.03	15.00
Jun-AP1.HOMER	0.932	1.851684	16.61	183.00
v-JUN.1_4.ZLAB	0.492	1.000894	0.94	1.67
c-Jun-CRE.HOMER	0.608	1.280734	3.95	16.00
v-JUN.1_2.ZLAB	0.934	1.847446	16.49	154.00
MA0489.1.JASPAR	0.932	1.851307	16.81	174.00
MA0488.1.JASPAR	0.658	1.356849	4.61	13.67
cJun_4.GUERTIN	0.535	1.053767	1.17	2.00
C-JUN_2.3DFOOTPRINT	0.734	1.301398	1.94	236.50
JUN_f1.HOCOMOCO	0.936	1.840013	16.53	119.33
v-JUN.1_1.ZLAB	0.710	1.410693	4.57	19.00
JUN.SWISSREGULON	0.619	1.245669	2.88	8.25
v-JUN.1_3.ZLAB	0.923	1.821311	13.06	180.50
M2289_1.02.CIS-BP	0.658	1.356849	4.61	13.67
Jun.TF2DNA	0.748	1.405029	3.75	5.32
cJun_2.GUERTIN	0.636	1.299268	3.95	12.50
C-JUN_1.3DFOOTPRINT	0.613	1.243446	2.54	6.50
cJun_3.GUERTIN	0.885	1.738318	21.46	121.67
cJun_1.GUERTIN	0.937	1.856401	16.77	178.50
Motif	ROC AUC	MNCP	Enr. at 5% FDR	Max enr.
v-JUN.1_5.ZLAB	0.693	1.436155	5.40	36.00
Jun-AP1.HOMER	0.874	1.832047	15.96	141.00
v-JUN.1_4.ZLAB	0.488	1.007866	1.12	3.00
c-Jun-CRE.HOMER	0.618	1.368762	5.64	56.50
v-JUN.1_2.ZLAB	0.875	1.828950	16.08	74.25
MA0489.1.JASPAR	0.873	1.829408	15.80	105.50
MA0488.1.JASPAR	0.644	1.408561	5.84	51.00
cJun_4.GUERTIN	0.499	0.994282	0.80	1.15
C-JUN_2.3DFOOTPRINT	0.754	1.347597	2.08	243.00
JUN_f1.HOCOMOCO	0.893	1.836353	16.20	80.67
v-JUN.1_1.ZLAB	0.693	1.454249	5.76	57.00
JUN.SWISSREGULON	0.630	1.357471	5.16	20.00
v-JUN.1_3.ZLAB	0.886	1.816279	14.54	70.00
M2289_1.02.CIS-BP	0.644	1.408561	5.84	51.00
Jun.TF2DNA	0.725	1.375432	3.52	4.42
cJun_2.GUERTIN	0.646	1.406077	5.84	44.00
C-JUN_1.3DFOOTPRINT	0.663	1.388756	5.27	21.50
cJun_3.GUERTIN	0.851	1.740137	15.32	21.67
cJun_1.GUERTIN	0.881	1.833724	15.35	111.00
Motif	ROC AUC	MNCP	Enr. at 5% FDR	Max enr.
v-JUN.1_5.ZLAB	0.678	1.386904	5.04	27.00
Jun-AP1.HOMER	0.887	1.822691	15.36	165.50
v-JUN.1_4.ZLAB	0.526	1.065988	1.32	3.00
c-Jun-CRE.HOMER	0.629	1.356819	5.16	43.50
v-JUN.1_2.ZLAB	0.888	1.824640	15.44	163.00
MA0489.1.JASPAR	0.880	1.813827	15.21	161.50
MA0488.1.JASPAR	0.646	1.382313	5.01	45.00
cJun_4.GUERTIN	0.545	1.074304	1.63	2.33
C-JUN_2.3DFOOTPRINT	0.746	1.324995	2.01	243.00
JUN_f1.HOCOMOCO	0.898	1.830477	15.83	167.00
v-JUN.1_1.ZLAB	0.690	1.424462	5.16	43.00
JUN.SWISSREGULON	0.618	1.304823	3.88	12.80
v-JUN.1_3.ZLAB	0.891	1.810544	12.54	164.50
M2289_1.02.CIS-BP	0.646	1.382313	5.01	45.00
Jun.TF2DNA	0.709	1.340735	3.12	4.31
cJun_2.GUERTIN	0.654	1.393987	5.32	44.50
C-JUN_1.3DFOOTPRINT	0.631	1.319956	4.24	22.00
cJun_3.GUERTIN	0.863	1.746187	8.08	22.00
cJun_1.GUERTIN	0.894	1.831487	15.60	142.00
Motif	ROC AUC	MNCP	Enr. at 5% FDR	Max enr.
v-JUN.1_5.ZLAB	0.696	1.416314	4.88	31.00
Jun-AP1.HOMER	0.824	1.765635	14.28	104.00
v-JUN.1_4.ZLAB	0.494	1.018842	1.32	1.86
c-Jun-CRE.HOMER	0.644	1.405598	5.88	27.00
v-JUN.1_2.ZLAB	0.830	1.763305	13.81	144.00
MA0489.1.JASPAR	0.821	1.759107	14.20	94.50
MA0488.1.JASPAR	0.659	1.421981	5.80	39.00
cJun_4.GUERTIN	0.506	1.005599	0.84	1.20
C-JUN_2.3DFOOTPRINT	0.722	1.303524	1.92	74.50
JUN_f1.HOCOMOCO	0.839	1.770768	14.40	100.00
v-JUN.1_1.ZLAB	0.714	1.481121	6.12	47.00
JUN.SWISSREGULON	0.637	1.364050	4.88	21.67
v-JUN.1_3.ZLAB	0.836	1.761694	12.25	167.00
M2289_1.02.CIS-BP	0.659	1.421981	5.80	39.00
Jun.TF2DNA	0.685	1.328741	2.64	4.20
cJun_2.GUERTIN	0.661	1.426492	6.16	38.00
C-JUN_1.3DFOOTPRINT	0.636	1.354876	5.35	21.50
cJun_3.GUERTIN	0.820	1.704823	7.21	84.50
cJun_1.GUERTIN	0.835	1.771715	14.40	134.50
Motif	ROC AUC	MNCP	Enr. at 5% FDR	Max enr.
v-JUN.1_5.ZLAB	0.735	1.545492	7.24	54.50
Jun-AP1.HOMER	0.677	1.522256	8.32	64.00
v-JUN.1_4.ZLAB	0.470	0.946413	0.64	1.01
c-Jun-CRE.HOMER	0.706	1.536021	8.20	69.00
v-JUN.1_2.ZLAB	0.677	1.512899	8.12	51.50
MA0489.1.JASPAR	0.656	1.486883	7.96	50.50
MA0488.1.JASPAR	0.719	1.540129	8.36	47.33
cJun_4.GUERTIN	0.543	1.037552	0.92	1.50
C-JUN_2.3DFOOTPRINT	0.719	1.310594	2.00	72.00
JUN_f1.HOCOMOCO	0.707	1.538180	8.40	39.50
v-JUN.1_1.ZLAB	0.766	1.604219	8.56	70.50
JUN.SWISSREGULON	0.654	1.428126	5.23	43.50
v-JUN.1_3.ZLAB	0.719	1.533649	6.70	38.00
M2289_1.02.CIS-BP	0.719	1.540129	8.36	47.33
Jun.TF2DNA	0.645	1.232844	2.59	2.87
cJun_2.GUERTIN	0.725	1.564733	8.28	68.00
C-JUN_1.3DFOOTPRINT	0.683	1.473096	7.04	44.50
cJun_3.GUERTIN	0.661	1.406948	7.12	10.92
cJun_1.GUERTIN	0.690	1.527626	8.12	66.00
Motif	ROC AUC	MNCP	Enr. at 5% FDR	Max enr.
v-JUN.1_5.ZLAB	0.692	1.372834	5.06	25.00
Jun-AP1.HOMER	0.875	1.756706	15.26	170.00
v-JUN.1_4.ZLAB	0.516	1.019816	1.25	2.50
c-Jun-CRE.HOMER	0.652	1.354166	5.29	22.50
v-JUN.1_2.ZLAB	0.880	1.762298	15.45	182.50
MA0489.1.JASPAR	0.878	1.752769	15.22	165.00
MA0488.1.JASPAR	0.672	1.385347	5.06	40.50
cJun_4.GUERTIN	0.515	1.032788	1.33	1.84
C-JUN_2.3DFOOTPRINT	0.732	1.293809	1.95	232.50
JUN_f1.HOCOMOCO	0.889	1.761427	14.73	171.00
v-JUN.1_1.ZLAB	0.711	1.419125	5.33	37.50
JUN.SWISSREGULON	0.632	1.281194	3.76	17.00
v-JUN.1_3.ZLAB	0.872	1.738326	12.19	128.00
M2289_1.02.CIS-BP	0.672	1.385347	5.06	40.50
Jun.TF2DNA	0.720	1.318054	2.82	3.83
cJun_2.GUERTIN	0.665	1.374269	5.45	33.50
C-JUN_1.3DFOOTPRINT	0.630	1.285161	4.04	11.50
cJun_3.GUERTIN	0.846	1.676045	7.35	34.00
cJun_1.GUERTIN	0.884	1.763820	15.29	169.50
Motif	ROC AUC	MNCP	Enr. at 5% FDR	Max enr.
v-JUN.1_5.ZLAB	0.694	1.400706	4.79	28.50
Jun-AP1.HOMER	0.879	1.801150	15.36	179.00
v-JUN.1_4.ZLAB	0.512	1.020485	1.27	1.50
c-Jun-CRE.HOMER	0.647	1.381059	5.50	44.00
v-JUN.1_2.ZLAB	0.877	1.798156	15.36	166.00
MA0489.1.JASPAR	0.874	1.794589	15.20	163.50
MA0488.1.JASPAR	0.670	1.407741	5.15	45.50
cJun_4.GUERTIN	0.512	1.027298	1.27	2.50
C-JUN_2.3DFOOTPRINT	0.742	1.315329	1.99	240.50
JUN_f1.HOCOMOCO	0.890	1.808664	14.90	180.00
v-JUN.1_1.ZLAB	0.706	1.440446	5.38	46.50
JUN.SWISSREGULON	0.618	1.314015	4.04	19.50
v-JUN.1_3.ZLAB	0.878	1.782830	13.23	118.33
M2289_1.02.CIS-BP	0.670	1.407741	5.15	45.50
Jun.TF2DNA	0.714	1.346821	2.97	4.00
cJun_2.GUERTIN	0.668	1.404283	5.38	43.00
C-JUN_1.3DFOOTPRINT	0.651	1.333520	4.05	14.50
cJun_3.GUERTIN	0.855	1.724782	7.52	27.31
cJun_1.GUERTIN	0.883	1.803130	15.48	178.00
Motif	ROC AUC	MNCP	Enr. at 5% FDR	Max enr.
v-JUN.1_5.ZLAB	0.832	1.705165	11.16	63.00
Jun-AP1.HOMER	0.692	1.515547	8.21	49.00
v-JUN.1_4.ZLAB	0.524	1.039965	1.26	3.00
c-Jun-CRE.HOMER	0.818	1.715247	11.94	109.00
v-JUN.1_2.ZLAB	0.709	1.532373	8.13	58.50
MA0489.1.JASPAR	0.680	1.491730	7.78	43.50
MA0488.1.JASPAR	0.846	1.729789	12.96	44.00
cJun_4.GUERTIN	0.489	0.993356	1.14	2.00
C-JUN_2.3DFOOTPRINT	0.725	1.296624	1.88	118.25
JUN_f1.HOCOMOCO	0.732	1.550020	8.42	34.75
v-JUN.1_1.ZLAB	0.860	1.762697	12.57	112.00
JUN.SWISSREGULON	0.788	1.653904	10.21	76.00
v-JUN.1_3.ZLAB	0.703	1.491519	6.35	30.00
M2289_1.02.CIS-BP	0.846	1.729789	12.96	44.00
Jun.TF2DNA	0.743	1.385985	3.06	4.00
cJun_2.GUERTIN	0.840	1.746404	12.41	97.00
C-JUN_1.3DFOOTPRINT	0.802	1.663791	8.63	63.50
cJun_3.GUERTIN	0.667	1.424652	4.05	17.50
cJun_1.GUERTIN	0.703	1.530556	8.29	66.50
Motif	ROC AUC	MNCP	Enr. at 5% FDR	Max enr.
v-JUN.1_5.ZLAB	0.666	1.322980	3.68	9.50
Jun-AP1.HOMER	0.936	1.904712	16.38	135.50
v-JUN.1_4.ZLAB	0.484	0.991643	0.72	1.50
c-Jun-CRE.HOMER	0.574	1.253441	3.92	23.50
v-JUN.1_2.ZLAB	0.932	1.891214	16.20	96.67
MA0489.1.JASPAR	0.934	1.897907	16.68	111.00
MA0488.1.JASPAR	0.626	1.302473	4.12	25.50
cJun_4.GUERTIN	0.485	0.956849	0.44	1.04
C-JUN_2.3DFOOTPRINT	0.740	1.321798	1.96	120.50
JUN_f1.HOCOMOCO	0.942	1.907562	16.92	127.50
v-JUN.1_1.ZLAB	0.672	1.369905	4.08	30.00
JUN.SWISSREGULON	0.603	1.244147	3.12	12.00
v-JUN.1_3.ZLAB	0.923	1.860081	14.33	187.50
M2289_1.02.CIS-BP	0.626	1.302473	4.12	25.50
Jun.TF2DNA	0.737	1.394597	3.11	4.03
cJun_2.GUERTIN	0.612	1.284573	3.68	18.00
C-JUN_1.3DFOOTPRINT	0.631	1.300147	2.75	10.50
cJun_3.GUERTIN	0.888	1.776144	7.40	62.50
cJun_1.GUERTIN	0.937	1.899721	17.04	89.00
Motif	ROC AUC	MNCP	Enr. at 5% FDR	Max enr.
v-JUN.1_5.ZLAB	0.687	1.351432	4.03	15.00
Jun-AP1.HOMER	0.932	1.851684	16.61	183.00
v-JUN.1_4.ZLAB	0.492	1.000894	0.94	1.67
c-Jun-CRE.HOMER	0.608	1.280734	3.95	16.00
v-JUN.1_2.ZLAB	0.934	1.847446	16.49	154.00
MA0489.1.JASPAR	0.932	1.851307	16.81	174.00
MA0488.1.JASPAR	0.658	1.356849	4.61	13.67
cJun_4.GUERTIN	0.535	1.053767	1.17	2.00
C-JUN_2.3DFOOTPRINT	0.734	1.301398	1.94	236.50
JUN_f1.HOCOMOCO	0.936	1.840013	16.53	119.33
v-JUN.1_1.ZLAB	0.710	1.410693	4.57	19.00
JUN.SWISSREGULON	0.619	1.245669	2.88	8.25
v-JUN.1_3.ZLAB	0.923	1.821311	13.06	180.50
M2289_1.02.CIS-BP	0.658	1.356849	4.61	13.67
Jun.TF2DNA	0.748	1.405029	3.75	5.32
cJun_2.GUERTIN	0.636	1.299268	3.95	12.50
C-JUN_1.3DFOOTPRINT	0.613	1.243446	2.54	6.50
cJun_3.GUERTIN	0.885	1.738318	21.46	121.67
cJun_1.GUERTIN	0.937	1.856401	16.77	178.50
Motif	ROC AUC	MNCP	Enr. at 5% FDR	Max enr.
v-JUN.1_5.ZLAB	0.693	1.436155	5.40	36.00
Jun-AP1.HOMER	0.874	1.832047	15.96	141.00
v-JUN.1_4.ZLAB	0.488	1.007866	1.12	3.00
c-Jun-CRE.HOMER	0.618	1.368762	5.64	56.50
v-JUN.1_2.ZLAB	0.875	1.828950	16.08	74.25
MA0489.1.JASPAR	0.873	1.829408	15.80	105.50
MA0488.1.JASPAR	0.644	1.408561	5.84	51.00
cJun_4.GUERTIN	0.499	0.994282	0.80	1.15
C-JUN_2.3DFOOTPRINT	0.754	1.347597	2.08	243.00
JUN_f1.HOCOMOCO	0.893	1.836353	16.20	80.67
v-JUN.1_1.ZLAB	0.693	1.454249	5.76	57.00
JUN.SWISSREGULON	0.630	1.357471	5.16	20.00
v-JUN.1_3.ZLAB	0.886	1.816279	14.54	70.00
M2289_1.02.CIS-BP	0.644	1.408561	5.84	51.00
Jun.TF2DNA	0.725	1.375432	3.52	4.42
cJun_2.GUERTIN	0.646	1.406077	5.84	44.00
C-JUN_1.3DFOOTPRINT	0.663	1.388756	5.27	21.50
cJun_3.GUERTIN	0.851	1.740137	15.32	21.67
cJun_1.GUERTIN	0.881	1.833724	15.35	111.00
Motif	ROC AUC	MNCP	Enr. at 5% FDR	Max enr.
v-JUN.1_5.ZLAB	0.678	1.386904	5.04	27.00
Jun-AP1.HOMER	0.887	1.822691	15.36	165.50
v-JUN.1_4.ZLAB	0.526	1.065988	1.32	3.00
c-Jun-CRE.HOMER	0.629	1.356819	5.16	43.50
v-JUN.1_2.ZLAB	0.888	1.824640	15.44	163.00
MA0489.1.JASPAR	0.880	1.813827	15.21	161.50
MA0488.1.JASPAR	0.646	1.382313	5.01	45.00
cJun_4.GUERTIN	0.545	1.074304	1.63	2.33
C-JUN_2.3DFOOTPRINT	0.746	1.324995	2.01	243.00
JUN_f1.HOCOMOCO	0.898	1.830477	15.83	167.00
v-JUN.1_1.ZLAB	0.690	1.424462	5.16	43.00
JUN.SWISSREGULON	0.618	1.304823	3.88	12.80
v-JUN.1_3.ZLAB	0.891	1.810544	12.54	164.50
M2289_1.02.CIS-BP	0.646	1.382313	5.01	45.00
Jun.TF2DNA	0.709	1.340735	3.12	4.31
cJun_2.GUERTIN	0.654	1.393987	5.32	44.50
C-JUN_1.3DFOOTPRINT	0.631	1.319956	4.24	22.00
cJun_3.GUERTIN	0.863	1.746187	8.08	22.00
cJun_1.GUERTIN	0.894	1.831487	15.60	142.00
Motif	ROC AUC	MNCP	Enr. at 5% FDR	Max enr.
v-JUN.1_5.ZLAB	0.696	1.416314	4.88	31.00
Jun-AP1.HOMER	0.824	1.765635	14.28	104.00
v-JUN.1_4.ZLAB	0.494	1.018842	1.32	1.86
c-Jun-CRE.HOMER	0.644	1.405598	5.88	27.00
v-JUN.1_2.ZLAB	0.830	1.763305	13.81	144.00
MA0489.1.JASPAR	0.821	1.759107	14.20	94.50
MA0488.1.JASPAR	0.659	1.421981	5.80	39.00
cJun_4.GUERTIN	0.506	1.005599	0.84	1.20
C-JUN_2.3DFOOTPRINT	0.722	1.303524	1.92	74.50
JUN_f1.HOCOMOCO	0.839	1.770768	14.40	100.00
v-JUN.1_1.ZLAB	0.714	1.481121	6.12	47.00
JUN.SWISSREGULON	0.637	1.364050	4.88	21.67
v-JUN.1_3.ZLAB	0.836	1.761694	12.25	167.00
M2289_1.02.CIS-BP	0.659	1.421981	5.80	39.00
Jun.TF2DNA	0.685	1.328741	2.64	4.20
cJun_2.GUERTIN	0.661	1.426492	6.16	38.00
C-JUN_1.3DFOOTPRINT	0.636	1.354876	5.35	21.50
cJun_3.GUERTIN	0.820	1.704823	7.21	84.50
cJun_1.GUERTIN	0.835	1.771715	14.40	134.50
Motif	ROC AUC	MNCP	Enr. at 5% FDR	Max enr.
v-JUN.1_5.ZLAB	0.735	1.545492	7.24	54.50
Jun-AP1.HOMER	0.677	1.522256	8.32	64.00
v-JUN.1_4.ZLAB	0.470	0.946413	0.64	1.01
c-Jun-CRE.HOMER	0.706	1.536021	8.20	69.00
v-JUN.1_2.ZLAB	0.677	1.512899	8.12	51.50
MA0489.1.JASPAR	0.656	1.486883	7.96	50.50
MA0488.1.JASPAR	0.719	1.540129	8.36	47.33
cJun_4.GUERTIN	0.543	1.037552	0.92	1.50
C-JUN_2.3DFOOTPRINT	0.719	1.310594	2.00	72.00
JUN_f1.HOCOMOCO	0.707	1.538180	8.40	39.50
v-JUN.1_1.ZLAB	0.766	1.604219	8.56	70.50
JUN.SWISSREGULON	0.654	1.428126	5.23	43.50
v-JUN.1_3.ZLAB	0.719	1.533649	6.70	38.00
M2289_1.02.CIS-BP	0.719	1.540129	8.36	47.33
Jun.TF2DNA	0.645	1.232844	2.59	2.87
cJun_2.GUERTIN	0.725	1.564733	8.28	68.00
C-JUN_1.3DFOOTPRINT	0.683	1.473096	7.04	44.50
cJun_3.GUERTIN	0.661	1.406948	7.12	10.92
cJun_1.GUERTIN	0.690	1.527626	8.12	66.00
